timestamp,button,state,x,y
1.8428337574005127,NoButton,Move,649,394
1.8558411598205566,NoButton,Move,651,396
1.8678312301635742,NoButton,Move,655,396
1.8808395862579346,NoButton,Move,657,396
1.8938493728637695,NoButton,Move,661,398
1.9048779010772705,NoButton,Move,663,400
1.918877124786377,NoButton,Move,665,402
1.930943489074707,NoButton,Move,667,404
1.9439544677734375,NoButton,Move,671,408
1.9568932056427002,NoButton,Move,675,412
1.9709141254425049,NoButton,Move,677,418
1.9829142093658447,NoButton,Move,681,424
1.9950072765350342,NoButton,Move,681,426
2.00793719291687,NoButton,Move,683,430
2.021955966949463,NoButton,Move,683,432
2.0329670906066895,NoButton,Move,683,434
2.046024799346924,NoButton,Move,685,434
2.0579652786254883,NoButton,Move,685,436
2.0970611572265625,NoButton,Move,685,438
2.136030912399292,NoButton,Move,683,438
2.1490304470062256,NoButton,Move,679,440
2.1611075401306152,NoButton,Move,673,440
2.173065662384033,NoButton,Move,667,440
2.1860744953155518,NoButton,Move,657,440
2.1981520652770996,NoButton,Move,645,436
2.2121427059173584,NoButton,Move,633,434
2.2230825424194336,NoButton,Move,621,430
2.237093448638916,NoButton,Move,607,426
2.2491211891174316,NoButton,Move,595,422
2.263113260269165,NoButton,Move,579,416
2.275120496749878,NoButton,Move,565,412
2.287148952484131,NoButton,Move,547,404
2.3011388778686523,NoButton,Move,531,396
2.31320858001709,NoButton,Move,517,386
2.3251547813415527,NoButton,Move,505,378
2.3381712436676025,NoButton,Move,497,372
2.3511745929718018,NoButton,Move,491,366
2.3642163276672363,NoButton,Move,485,362
2.376192569732666,NoButton,Move,481,358
2.389200448989868,NoButton,Move,477,354
2.4022252559661865,NoButton,Move,473,350
2.4152517318725586,NoButton,Move,469,344
2.428269386291504,NoButton,Move,465,338
2.4402568340301514,NoButton,Move,463,334
2.452274799346924,NoButton,Move,461,330
2.4662561416625977,NoButton,Move,459,328
2.4782843589782715,NoButton,Move,459,326
2.49127459526062,NoButton,Move,457,324
2.516291379928589,NoButton,Move,457,322
2.5423102378845215,NoButton,Move,457,320
2.5793683528900146,NoButton,Move,457,318
